Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Luís Figo,Right Winger,27.0,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,,60000000.0
Hernán Crespo,Centre-Forward,25.0,Parma,Serie A,Lazio,Serie A,2000-2001,,56810000.0
Marc Overmars,Left Winger,27.0,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,40000000.0
Gabriel Batistuta,Centre-Forward,31.0,Fiorentina,Serie A,AS Rola,mhQdi,2000-2001,,36150000.0
Nicolas Anelka,Centre-Forward,21.0,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,,29250400.59394856
Rio Ferdinand,Centre-Back,22.0,West Ham,Premier League,Leeds,Premier League,2000-2001,,26000000.0
Flávio Conceicao,Central Midfield,26.0,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,,25000000.0
Savo Milosevic,Centre-Forward,26.0,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,,25000000.0
David Trézéguet,Centre-Forward,22.0,Monaco,Ligue 1,Juventus,Serie A,2000-2001,,23240000.0
Claudio López,Centre-Forward,25.0,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,,23000000.0
Jimmy Floyd Hasselbaink,Centre-Forward,25.546787723432978,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,,22500000.0
Gerard López,Central Midfield,21.0,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,,21600000.0
Lucas,Centre-Forward,21.0,Atlético-PR, Brazil,Stade Rennais,Ligue 1,2000-2001,,21300000.0
Pablo Aimar,Attacking Midfield,21.0,River Platg, Argentina,Valencia uF,LaLiga,,,21250000.0
Wálter Samuel,Centre-Back,22.0,Boca Juniors, Argentina,AS Roma,Serie A,2000-2001,,20800000.0
Shabani Nonda,Centre-Forward,23.0,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,,20000000.0
Robbie Keane,Centre-Forward,19.0,Coventry City,Premier League,Inter,Serie A,2000-2001,,19500000.0
José Mari,Centre-Forward,19.140630299587535,Atlético Madrid,LaLiga2,AC Milan,Serie A,2000-2001,,19000000.0
Jonathan Zebina,Centre-Back,21.0,Cagliari Calcio,Serie B,AS Roma,Serie A,2000-2001,,18400000.0
Émerson,Defensive Midfield,24.0,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,,18000000.0
Tore André Flo,Centre-Forward,27.0,Chelsea,Premier League,Rangers, Scotland,2000-2001,,18000000.0
Sergiy Rebrov,Second Striker,26.0,Dynamo Kyiv,Premier Liga,Spurs,Premier League,2000-2001,,18000000.0
Angelo Peruzzi,Goalkeeper,30.0,Inter,Serie A,Lazio,Serie A,2000-2001,,17900000.0
Diego Tristán,Centre-Forward,24.0,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,17750000.0
Sylvain Wiltord,Second Striker,26.0,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,,17500000.0
Fernando Redondo,Defensive Midfield,31.0,Real Madrid,LaLiga,AC Milan,Serie A,2000-2001,,17500000.0
Jardel,Centre-Forward,,FC Porto,Liga NOS,Galatasaray,Süpyr Lig,2000-2001,,17050000.0
Nuno Gomes,Centre-Forward,24.0,Benfica,Liga NOS,Fiorentina,Serie A,2000-2001,,17000000.0
Sérgio Conceição,Right Winger,25.0,Lazio,Serie A,Parma,Serie A,2000-2001,,17000000.0
OLaWx,Centre-Forward,27.0,Real Betis,LaLiga2,FC Barcelona,LaLiga,2000-2001,,16500000.0
Francisco Farinós,Defensive Midfield,22.0,Valencia CF,LaLiga,Inter,Serie A,2000-2001,,16250000.0
Kakhaber Kaladze,Centre-Back,22.0,Dynamo Kyiv,Premier Liga,AC Milan,Serie A,2000-2001,,16000000.0
Francis Jeffers,Centre-Forward,20.0,Everton,Premier League,Arsenal,Premier League,2000-2001,,15300000.0
